Student_ID,Weekly_Study_Hours,Attendance_Rate,Sleep_Hours,Previous_Scores,Internet_Usage_Time,Parent_Education_Level,Distance_to_School,Stress_Level,Practice_Exams_Passed,Extracurricular_Activities,Exam_Score
10000,28.5,92.43,6.9,88.87,8.2,Lise,2.02,6,11,5.8,62.74
10001,18.2,84.94,8.8,53.51,8.0,Üniversite,35.22,1,9,19.2,54.92
10002,20.0,91.22,9.6,32.5,8.6,Ortaokul,12.94,3,6,15.6,42.86
10003,20.0,94.81,7.4,63.86,6.9,Üniversite,5.59,5,13,1.5,63.47
10004,23.8,83.93,8.4,59.74,7.2,Üniversite,19.0,4,13,19.1,57.8
10005,15.8,85.2,8.9,57.65,8.7,İlkokul,24.13,1,8,4.5,53.83
10006,23.7,92.85,7.8,75.82,6.1,Ortaokul,1.72,5,12,16.0,69.6
10007,17.7,94.17,9.6,78.33,8.5,Ortaokul,11.36,4,7,12.9,55.62
10008,26.1,89.99,8.5,54.07,6.5,Ortaokul,1.8,5,14,10.7,65.02
10009,20.4,89.93,9.0,63.64,6.8,Üniversite,17.1,3,8,18.7,59.87
10010,19.8,78.59,8.4,44.15,6.9,Lise,35.86,3,8,12.1,43.79
10011,18.7,74.73,7.7,34.62,9.0,Ortaokul,39.31,2,7,10.0,32.96
10012,29.0,84.65,7.8,75.27,7.8,Üniversite,25.66,3,15,16.6,70.71
10013,16.8,92.17,8.6,31.54,7.1,İlkokul,6.88,1,9,13.4,43.93
10014,18.1,84.32,9.1,76.36,8.1,Lise,36.28,3,11,9.8,58.58
10015,14.0,87.74,8.6,57.65,8.6,İlkokul,20.89,2,7,2.0,52.12
10016,20.6,88.85,9.0,46.92,9.0,Lise,6.57,3,12,3.1,48.11
10017,27.4,83.89,7.5,69.67,6.3,Üniversite,36.91,5,10,10.7,66.05
10018,17.1,78.66,9.0,34.06,5.7,Yok,30.42,4,6,6.6,34.86
10019,20.0,81.57,8.0,60.13,7.5,Lise,29.4,4,10,4.2,56.6
10020,16.2,84.39,8.7,71.98,7.8,İlkokul,28.51,3,10,19.3,61.84
10021,22.6,91.17,7.5,65.41,7.7,Üniversite,8.41,5,10,17.2,63.53
10022,28.7,94.96,7.7,44.18,7.4,Lise,8.83,3,12,8.6,61.09
10023,22.6,86.75,7.7,63.81,8.4,Yok,27.69,2,10,17.4,59.71
10024,11.5,93.46,9.4,34.27,9.0,Yok,9.18,1,6,1.2,37.52
10025,27.0,89.02,8.2,72.62,7.4,Ortaokul,17.83,5,11,2.0,56.54
10026,17.5,78.29,8.6,58.36,9.0,Ortaokul,31.39,4,8,19.0,44.71
10027,20.8,83.74,8.0,52.96,6.1,İlkokul,31.47,3,9,13.8,60.59
10028,19.9,87.4,8.6,82.83,7.4,Lise,18.4,4,10,15.3,57.11
10029,25.7,85.66,8.4,74.97,6.9,Lise,31.79,5,14,16.7,67.95
10030,20.1,79.19,8.3,33.81,8.0,Ortaokul,33.63,2,10,1.1,41.72
10031,19.5,83.85,8.2,52.29,7.0,Lise,26.36,3,7,14.4,48.76
10032,28.0,91.79,7.1,83.9,6.0,Lise,9.52,6,13,7.1,76.17
10033,8.5,86.0,9.4,25.01,8.6,Yok,11.32,1,7,16.4,35.67
10034,21.5,85.92,8.8,61.99,7.9,Ortaokul,12.94,3,10,7.8,59.44
10035,20.0,91.36,8.7,80.03,3.6,Üniversite,5.11,3,12,15.4,81.52
10036,24.2,86.27,8.2,66.2,7.1,Ortaokul,11.29,4,13,18.0,61.19
10037,22.2,90.84,7.5,81.83,6.6,Üniversite,8.78,5,9,6.8,65.45
10038,12.5,84.34,8.8,63.91,7.6,Yok,18.49,1,9,9.4,52.21
10039,24.1,81.35,8.7,66.06,7.4,İlkokul,36.38,5,12,10.7,54.74
10040,15.3,97.28,9.2,81.18,8.3,Lise,4.63,3,7,13.8,61.84
10041,13.4,78.48,8.4,59.51,8.6,Yok,5.0,3,7,16.9,48.88
10042,21.2,87.28,9.3,58.13,7.6,Lise,27.65,4,12,4.2,57.0
10043,18.5,95.77,8.0,53.96,9.0,İlkokul,4.28,2,10,18.9,55.47
10044,17.2,83.59,8.4,67.42,9.0,İlkokul,36.94,3,9,15.7,39.68
10045,13.3,87.44,9.2,72.2,7.0,Yok,22.95,1,5,2.8,44.75
10046,20.0,91.16,8.3,42.97,7.1,İlkokul,14.87,4,11,6.7,57.34
10047,28.0,81.84,7.6,58.81,6.3,Üniversite,30.38,6,11,5.0,53.07
10048,19.4,85.77,8.5,79.19,6.2,İlkokul,10.67,2,10,3.2,64.7
10049,16.0,88.32,9.2,67.82,9.0,Lise,27.89,2,10,12.9,48.76
10050,21.1,91.39,9.3,45.84,7.6,Lise,2.07,2,10,1.3,49.09
10051,24.6,85.26,8.2,72.5,5.9,Lise,33.66,4,10,12.0,64.05
10052,23.9,92.52,7.8,90.49,8.2,Lise,18.2,4,12,16.6,74.87
10053,20.0,83.35,8.5,85.29,7.7,Üniversite,25.65,4,10,7.2,62.61
10054,20.9,87.57,9.3,73.02,6.7,Ortaokul,9.24,2,8,9.8,61.72
10055,15.4,87.34,9.2,35.44,8.9,Yok,27.24,1,8,2.9,35.01
10056,29.3,84.18,8.3,84.19,7.4,Lise,31.0,4,15,14.4,61.08
10057,17.4,90.64,9.0,56.92,8.6,İlkokul,19.19,1,10,18.2,51.85
10058,23.2,80.97,8.6,84.91,7.8,Lise,5.0,4,11,14.7,63.52
10059,18.9,89.89,8.5,46.14,7.0,İlkokul,18.52,2,11,2.5,49.88
10060,9.2,81.23,10.0,31.41,7.3,İlkokul,35.82,1,4,6.9,42.19
10061,16.9,82.99,7.2,62.18,6.8,Lise,20.17,4,10,3.5,44.77
10062,22.9,80.97,8.5,54.84,6.8,Üniversite,33.75,3,10,11.8,52.29
10063,25.3,77.81,8.2,67.34,5.2,İlkokul,32.15,5,13,14.5,65.81
10064,27.4,84.05,7.4,80.64,8.5,İlkokul,16.71,5,14,19.5,68.09
10065,18.8,91.55,8.7,74.0,6.7,Lise,9.59,2,11,10.1,57.29
10066,18.8,87.56,8.8,76.78,7.6,İlkokul,16.54,2,8,12.7,49.79
10067,26.7,84.44,7.0,52.92,6.9,İlkokul,33.14,6,13,2.1,51.73
10068,22.0,86.3,8.4,78.44,8.5,Lise,9.49,3,11,3.1,56.74
10069,31.8,88.73,8.1,82.37,6.7,Lise,21.22,5,12,4.6,67.95
10070,20.4,79.23,9.2,63.1,7.8,Yok,32.34,4,11,1.1,59.51
10071,30.0,91.09,7.9,67.93,8.7,Üniversite,14.46,3,13,8.2,61.57
10072,24.4,86.52,8.0,74.42,8.7,Üniversite,25.87,4,9,19.0,58.46
10073,17.3,94.88,9.1,66.53,8.3,İlkokul,10.2,3,9,13.1,59.7
10074,19.4,92.47,8.0,53.92,8.0,Üniversite,4.82,4,8,8.7,54.1
10075,23.1,84.8,8.6,72.53,7.1,İlkokul,31.88,5,11,9.9,64.05
10076,11.9,96.75,9.0,76.27,9.0,Yok,4.41,2,4,2.9,55.27
