Attendance_Rate,Sleep_Hours,Previous_Scores,Internet_Usage_Time,Distance_to_School,Stress_Level,Practice_Exams_Passed,Exam_Score,total_study_load,attendance_to_study_ratio,stress_x_study,prev_efficiency,PE_Ortaokul,PE_Yok,PE_Üniversite,PE_İlkokul
92.43,6.9,88.87,8.2,2.02,6,11,62.74,39.5,3.133220338983051,171.0,3.0125423728813563,False,False,False,False
84.94,8.8,53.51,8.0,35.22,1,9,54.92,27.2,4.423958333333333,18.2,2.786979166666667,False,False,True,False
91.22,9.6,32.5,8.6,12.94,3,6,42.86,26.0,4.343809523809524,60.0,1.5476190476190477,True,False,False,False
94.81,7.4,63.86,6.9,5.59,5,13,63.47,33.0,4.5147619047619045,100.0,3.040952380952381,False,False,True,False
83.93,8.4,59.74,7.2,19.0,4,13,57.8,36.8,3.384274193548387,95.2,2.4088709677419353,False,False,True,False
85.2,8.9,57.65,8.7,24.13,1,8,53.83,23.8,5.071428571428571,15.8,3.4315476190476186,False,False,False,True
92.85,7.8,75.82,6.1,1.72,5,12,69.6,35.7,3.7591093117408905,118.5,3.069635627530364,True,False,False,False
94.17,9.6,78.33,8.5,11.36,4,7,55.62,24.7,5.035828877005348,70.8,4.188770053475936,True,False,False,False
89.99,8.5,54.07,6.5,1.8,5,14,65.02,40.1,3.320664206642066,130.5,1.9952029520295202,True,False,False,False
89.93,9.0,63.64,6.8,17.1,3,8,59.87,28.4,4.202336448598132,61.199999999999996,2.9738317757009347,False,False,True,False
78.59,8.4,44.15,6.9,35.86,3,8,43.79,27.8,3.778365384615385,59.400000000000006,2.1225961538461537,False,False,False,False
74.73,7.7,34.62,9.0,39.31,2,7,32.96,25.7,3.7934010152284268,37.4,1.7573604060913706,True,False,False,False
84.65,7.8,75.27,7.8,25.66,3,15,70.71,44.0,2.8216666666666668,87.0,2.509,False,False,True,False
92.17,8.6,31.54,7.1,6.88,1,9,43.93,25.8,5.178089887640449,16.8,1.7719101123595504,False,False,False,True
84.32,9.1,76.36,8.1,36.28,3,11,58.58,29.1,4.414659685863874,54.300000000000004,3.9979057591623035,False,False,False,False
87.74,8.6,57.65,8.6,20.89,2,7,52.12,21.0,5.849333333333333,28.0,3.8433333333333333,False,False,False,True
88.85,9.0,46.92,9.0,6.57,3,12,48.11,32.6,4.113425925925926,61.800000000000004,2.172222222222222,False,False,False,False
83.89,7.5,69.67,6.3,36.91,5,10,66.05,37.4,2.95387323943662,137.0,2.4531690140845073,False,False,True,False
78.66,9.0,34.06,5.7,30.42,4,6,34.86,23.1,4.345856353591159,68.4,1.881767955801105,False,True,False,False
81.57,8.0,60.13,7.5,29.4,4,10,56.6,30.0,3.884285714285714,80.0,2.8633333333333333,False,False,False,False
84.39,8.7,71.98,7.8,28.51,3,10,61.84,26.2,4.90639534883721,48.599999999999994,4.184883720930233,False,False,False,True
91.17,7.5,65.41,7.7,8.41,5,10,63.53,32.6,3.863135593220339,113.0,2.771610169491525,False,False,True,False
94.96,7.7,44.18,7.4,8.83,3,12,61.09,40.7,3.1973063973063973,86.1,1.4875420875420875,False,False,False,False
86.75,7.7,63.81,8.4,27.69,2,10,59.71,32.6,3.6758474576271185,45.2,2.703813559322034,False,True,False,False
93.46,9.4,34.27,9.0,9.18,1,6,37.52,17.5,7.4768,11.5,2.7416,False,True,False,False
89.02,8.2,72.62,7.4,17.83,5,11,56.54,38.0,3.1792857142857143,135.0,2.593571428571429,True,False,False,False
78.29,8.6,58.36,9.0,31.39,4,8,44.71,25.5,4.231891891891892,70.0,3.1545945945945943,True,False,False,False
83.74,8.0,52.96,6.1,31.47,3,9,60.59,29.8,3.8412844036697242,62.400000000000006,2.4293577981651375,False,False,False,True
87.4,8.6,82.83,7.4,18.4,4,10,57.11,29.9,4.1818181818181825,79.6,3.963157894736842,False,False,False,False
85.66,8.4,74.97,6.9,31.79,5,14,67.95,39.7,3.208239700374532,128.5,2.8078651685393257,False,False,False,False
79.19,8.3,33.81,8.0,33.63,2,10,41.72,30.1,3.753080568720379,40.2,1.6023696682464454,True,False,False,False
83.85,8.2,52.29,7.0,26.36,3,7,48.76,26.5,4.090243902439024,58.5,2.550731707317073,False,False,False,False
91.79,7.1,83.9,6.0,9.52,6,13,76.17,41.0,3.165172413793104,168.0,2.893103448275862,False,False,False,False
86.0,9.4,25.01,8.6,11.32,1,7,35.67,15.5,9.052631578947368,8.5,2.6326315789473687,False,True,False,False
85.92,8.8,61.99,7.9,12.94,3,10,59.44,31.5,3.8186666666666667,64.5,2.7551111111111113,True,False,False,False
91.36,8.7,80.03,3.6,5.11,3,12,81.52,32.0,4.350476190476191,60.0,3.810952380952381,False,False,True,False
